"Overnight"," "," ",40000000
"Overnight Desk","JM PMM One Book","XIR",2000
"Overnight Desk","JM PMM One Book","XRH",1500
"Overnight Desk","JM PMM One Book","XRU",10000
"Overnight Desk","JM PMM US","XAU",500
"Overnight Desk","JM PMM US","XAG",15000
"Overnight Desk","JM PMM US","XPT",1500
"Overnight Desk","JM PMM US","XPD",3000
"Overnight Desk","JM PMM US","XOS",200
"Overnight Desk","JM PMM UK","XAU",500
"Overnight Desk","JM PMM UK","XAG",15000
"Overnight Desk","JM PMM UK","XPT",1500
"Overnight Desk","JM PMM UK","XPD",3000
"Overnight Desk","JM PMM UK","XOS",200
"Overnight Desk","JM PMM HK","XAU",500
"Overnight Desk","JM PMM HK","XAG",15000
"Overnight Desk","JM PMM HK","XPT",1500
"Overnight Desk","JM PMM HK","XPD",3000
"Overnight Desk","JM PMM HK","XOS",30
"Overnight Desk","JM PMM CN","XAU",32
"Overnight Desk","JM PMM CN","XAG",5000
"Overnight Desk","JM PMM CN","XPT",32
"Overnight Desk","JM PMM CN","XPD",32
"Overnight Desk","JM PMM CN","XOS",0
"Overnight Desk","JM PMM CN","XIR",32
"Overnight Desk","JM PMM CN","XRH",32
"Overnight Desk","JM PMM CN","XRU",160
"Intraday Desk","JM PMM UK","XAU",2000
"Intraday Desk","JM PMM UK","XAG",100000
"Intraday Desk","JM PMM UK","XPT",4000
"Intraday Desk","JM PMM UK","XPD",10000
"Intraday Desk","JM PMM UK","XIR",2000
"Intraday Desk","JM PMM UK","XRH",1500
"Intraday Desk","JM PMM UK","XRU",10000
"Intraday Desk","JM PMM UK","XOS",200
"Intraday Desk","JM PMM US","XAU",2000
"Intraday Desk","JM PMM US","XAG",100000
"Intraday Desk","JM PMM US","XPT",4000
"Intraday Desk","JM PMM US","XPD",7500
"Intraday Desk","JM PMM US","XIR",2000
"Intraday Desk","JM PMM US","XRH",1500
"Intraday Desk","JM PMM US","XRU",10000
"Intraday Desk","JM PMM US","XOS",200
"Intraday Desk","JM PMM HK","XAU",500
"Intraday Desk","JM PMM HK","XAG",2500
"Intraday Desk","JM PMM HK","XPT",4000
"Intraday Desk","JM PMM HK","XPD",5000
"Intraday Desk","JM PMM HK","XIR",2000
"Intraday Desk","JM PMM HK","XRH",1500
"Intraday Desk","JM PMM HK","XRU",10000
"Intraday Desk","JM PMM HK","XOS",30
"Intraday Desk","JM PMM CN","XAU",32
"Intraday Desk","JM PMM CN","XAG",5000
"Intraday Desk","JM PMM CN","XPT",32
"Intraday Desk","JM PMM CN","XPD",32
"Intraday Desk","JM PMM CN","XIR",32
"Intraday Desk","JM PMM CN","XRH",32
"Intraday Desk","JM PMM CN","XRU",160
"Intraday Desk","JM PMM CN","XOS",0
